id,Duration (in seconds),Q1.2,Q2.1,Q2.2,Q2.3,F4_1,F4_2,F4_3,F4_4,F4_5,Q2.5,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q3.1_5,Q3.1_6,Q3.1_7,Q3.1_8,Q3.1_9,Q3.1_10,Q3.1_11,Q3.1_12,Q3.1_13,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.2_6,Q3.2_7,Q3.2_8,Q3.2_9,Q3.3,Q4.1,Q4.1_11_TEXT,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.2_5,Q4.2_6,Q4.2_7,Q4.2_8,Q4.3_1,Q4.3_2,Q4.3_3,Q4.3_4,Q4.3_5,Q4.3_6,Q4.3_7,Q4.3_8,Q4.3_9,Q4.4_1,Q4.4_2,Q4.4_3,Q4.4_4,Q4.4_5,Q4.4_6,Q4.4_7,Q4.4_8,Q4.4_9,Q4.4_10,Q4.4_11,Q4.4_12,Q4.4_13,Q4.4_14,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.6_5,Q4.6_6,Q4.6_7,Q4.6_8,Q4.6_9,Q4.6_10,Q4.6_11,Q4.7_1,Q4.7_2,Q4.7_3,Q4.7_4,Q4.7_5,Q4.7_6,Q4.7_7,Q4.8_1,Q4.8_2,Q4.8_3,Q4.8_4,Q4.8_5,Q4.9_1,Q4.9_2,Q4.9_3,Q4.9_4,Q4.9_5,Q4.9_6,Q4.9_7,Q4.9_8,Q4.9_9,Q4.9_10,Q4.9_11,Q4.10_1,Q4.10_2,Q4.10_3,Q4.10_4,Q4.10_5,Q4.10_6,Q4.11_1,Q4.11_2,Q4.11_3,Q4.11_4,Q4.11_5,Q4.11_6,Q4.11_7,Q4.11_8,Q4.11_9,Q5.1_1,Q5.1_2,Q5.1_3,Q5.1_4,Q5.1_5,Q5.1_6,Q5.1_7,Q5.1_8,Q5.1_9,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,Q5.2_5,Q5.2_6,Q5.2_7,Q5.2_8,Q5.2_9,Q5.3_1,Q5.3_2,Q5.3_3,Q5.3_4,Q5.3_5,Q5.3_6,Q5.3_7,Q5.3_8,Q5.3_9,Q9.1,sex,age,pref
800,743,1,4,8,10,0,0,0,0,0,2,3,3,1,3,1,3,3,2,1,1,3,1,1,1,,1,,,1,1,,,1,1,,9,6,1,6,0,3,6,7,2,2,2,3,4,2,1,2,4,70,0,0,30,70,20,50,60,61,60,80,30,30,10,4,3,4,3,1,88,4,4,6,4,88,5,5,4,5,5,4,2,5,5,5,5,5,4,3,4,4,2,3,4,88,6,5,88,5,6,5,5,6,5,5,6,5,6,6,88,5,6,5,2,1,1,1,1,3,1,2,1,,,,,,,,,,,,,,,,,,,1,2,57,29
801,1156,1,2,5,7,0,0,0,0,2,1,3,3,3,3,3,1,1,3,3,3,3,3,3,,,,,,,,1,,,12,,3,7,4,4,1,7,4,4,4,5,1,1,3,2,2,2,4,20,40,50,30,0,0,30,80,80,90,30,30,30,30,1,1,1,4,1,4,4,3,6,4,4,2,4,4,2,4,2,2,6,4,6,5,6,1,4,1,4,1,3,4,4,6,4,2,3,3,3,3,4,3,5,5,1,4,3,1,5,1,1,4,2,2,3,2,3,3,4,2,,,,,,,,,,,,,,,,,,,1,1,70,14
802,913,1,4,8,99,0,0,0,0,0,3,3,3,2,3,3,2,3,2,2,2,2,2,3,,,,,,,,1,,,12,,5,5,5,5,5,5,5,5,2,1,1,1,1,4,3,4,4,50,50,50,50,50,50,50,50,50,50,50,50,50,50,2,3,3,3,3,3,3,3,6,3,1,3,5,3,3,3,3,2,6,2,6,4,6,2,2,2,2,2,2,4,2,5,4,1,4,4,4,4,4,4,6,6,6,3,6,5,6,5,3,,,,,,,,,,2,2,2,1,1,1,1,2,2,,,,,,,,,,1,2,54,7
803,1565,1,4,7,5,0,0,0,0,0,1,2,3,2,3,2,3,2,1,1,3,3,3,3,1,,,,1,1,1,,,1,1,,8,10,0,2,0,0,2,1,3,4,2,2,2,3,1,2,4,72,0,0,3,3,1,1,10,90,10,80,0,0,0,4,4,3,3,3,3,4,4,5,5,3,5,6,4,5,5,4,2,6,6,6,5,5,6,6,4,5,4,5,5,4,6,6,5,5,4,4,5,5,3,6,6,6,6,6,6,6,6,5,1,1,1,1,2,1,2,4,1,,,,,,,,,,,,,,,,,,,1,1,67,11
804,787,1,2,10,99,0,0,0,0,1,1,88,88,88,88,88,88,2,88,88,88,88,88,88,1,,,,,,,,,1,12,,,,,,,,,,1,2,5,5,3,3,3,3,4,,,,,,,,,,,,,,,3,5,88,88,88,88,5,2,6,99,99,88,88,88,88,88,88,2,5,4,5,4,5,2,4,88,88,3,88,4,88,5,4,4,88,88,88,88,88,88,4,5,5,4,5,3,5,3,3,,,,,,,,,,2,2,2,2,2,2,2,3,2,,,,,,,,,,1,1,73,13
805,470,1,3,6,99,2,0,0,0,0,3,3,3,88,3,3,3,88,88,3,1,1,3,3,,,,,,,,1,,,12,,,,,,,,,,1,1,3,2,3,3,2,88,4,,,,,,,,,,,,,,,3,5,5,4,4,5,5,4,5,5,4,88,4,3,88,5,3,2,4,6,4,4,4,3,4,5,88,4,5,88,88,5,5,4,88,4,2,88,88,3,5,4,5,4,6,5,5,3,3,,,,,,,,,,2,2,3,2,3,2,1,3,2,,,,,,,,,,1,2,26,16
806,567,1,2,1,3,0,0,0,0,0,3,3,3,88,3,3,3,3,1,88,3,88,3,3,,,,,,,,1,,,12,,,,,,,,,,1,2,2,1,3,2,4,3,4,,,,,,,,86,83,80,,,,,88,88,88,88,88,88,88,88,4,4,3,4,4,4,4,4,3,2,3,3,3,3,3,88,88,88,88,88,88,88,88,4,4,3,4,4,4,4,3,3,5,5,5,5,5,5,6,3,1,2,3,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,1,2,24,23
807,1485,1,2,8,4,0,0,0,0,2,3,2,3,2,3,3,3,2,3,3,3,3,3,3,,1,,,,1,,,,,2,,3,,3,4,3,,,,1,1,1,1,2,4,2,1,4,,80,80,60,,,,80,70,80,,80,80,80,3,3,3,5,5,4,5,5,5,4,4,4,4,88,1,4,88,2,5,5,6,6,5,3,2,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,5,4,,,,,,,,,,,,,,,,,,,3,2,2,2,2,2,2,3,2,1,2,70,23
808,742,1,4,1,10,0,0,0,0,0,1,3,3,3,3,3,3,3,3,1,2,1,2,3,1,,,,,,,,,1,5,,4,10,3,1,,10,5,,2,1,1,1,1,1,2,2,4,30,50,38,75,65,0,,50,20,22,14,50,50,,1,1,3,2,2,1,1,1,5,5,3,1,1,1,1,1,1,2,3,4,4,3,2,1,1,1,1,1,1,1,1,5,6,4,1,1,1,2,1,1,4,5,5,2,4,2,4,1,4,2,3,2,3,2,4,1,4,2,,,,,,,,,,,,,,,,,,,1,2,28,27
809,432,1,4,1,6,0,0,0,0,0,3,2,1,2,3,3,2,2,2,2,2,2,2,3,1,,,,,1,,,,1,2,,5,8,5,6,3,5,6,4,2,2,2,2,2,2,2,2,4,49,63,55,50,39,26,40,80,68,68,42,41,39,40,3,3,4,4,3,3,4,4,5,5,5,4,5,5,4,5,5,3,2,4,2,2,2,3,3,4,4,3,3,4,4,5,5,5,4,5,5,4,5,5,3,4,4,2,3,3,4,2,3,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,3,3,2,1,1,51,11
810,328,1,1,8,1,0,0,1,1,0,4,88,88,88,88,88,88,88,88,88,88,88,88,88,,,,,,,,,1,,99,,,,,,,,,,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,1,2,42,29
811,2783,1,4,1,10,0,0,0,0,0,1,3,3,3,3,3,3,3,2,88,2,3,3,3,1,,,,,1,,,,1,12,,5,6,4,4,4,6,6,4,4,4,4,4,4,4,3,3,4,50,50,50,50,50,50,50,50,50,50,50,50,50,50,99,88,88,3,88,88,88,88,4,4,88,4,4,4,4,4,4,2,4,5,4,4,4,88,3,3,88,2,3,88,88,4,4,3,4,4,4,4,4,4,4,4,5,88,5,88,88,88,88,,,,,,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,1,1,1,26,15
812,548,1,4,4,7,0,0,0,0,0,1,3,2,3,3,3,3,3,1,2,2,2,3,3,,,,,,1,,,,,10,,,,,,,,,,3,1,1,1,1,1,3,4,4,10,10,0,5,0,0,0,19,71,28,10,10,10,10,1,3,5,1,3,3,3,2,6,4,4,5,5,5,5,3,1,2,3,3,3,3,3,1,2,5,2,2,2,2,2,5,5,5,4,4,4,4,4,4,3,4,4,2,3,3,4,1,2,,,,,,,,,,3,3,3,3,3,3,3,3,3,,,,,,,,,,1,1,48,13
813,1285,1,3,1,6,0,0,0,0,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,,,,,,,,,1,5,,3,,,,,,,,2,2,1,1,3,3,4,4,4,,,,60,,,,,71,64,,,,63,2,2,4,4,4,3,2,3,6,5,4,4,5,4,5,4,4,2,3,3,3,3,3,4,4,3,4,4,4,4,3,5,5,4,4,4,4,4,4,4,4,4,5,4,5,3,4,4,2,,,,,,,,,,,,,,,,,,,3,2,2,2,2,2,2,3,2,1,2,43,12
814,687,1,2,1,8,0,0,0,0,2,4,3,3,3,3,3,3,3,3,2,3,3,2,3,,,,,,1,,,,,12,,8,8,,,,,,,2,2,2,2,2,3,3,5,4,,,,,,,,30,60,,,,,,3,3,4,3,88,4,3,3,4,3,3,2,2,2,2,2,2,2,3,5,3,3,3,3,3,4,3,88,4,3,2,4,2,3,2,2,2,2,3,2,4,4,3,2,4,3,4,4,3,,,,,,,,,,3,3,3,3,3,2,3,4,4,,,,,,,,,,1,1,43,21
815,475,1,3,10,99,0,0,0,0,2,3,3,3,3,3,3,3,1,3,3,3,3,3,3,,,,,,,,1,,,88,,5,5,5,5,5,5,5,5,88,88,88,88,88,88,88,88,88,50,50,50,50,50,50,50,50,50,50,50,50,50,50,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,4,4,4,4,4,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,4,88,88,88,88,88,88,88,88,,,,,,,,,,6,6,6,6,6,6,6,6,6,,,,,,,,,,1,2,70,7
816,1135,1,3,8,99,0,0,0,0,0,1,3,3,3,3,3,3,3,2,3,88,3,3,3,,,,,,,,1,,,12,,,,,,,,,,2,2,1,1,1,3,2,2,4,,,,,,,,,,,,,,,3,88,4,4,4,5,88,4,6,5,3,5,4,88,88,88,88,2,4,3,2,2,2,2,88,88,88,88,88,88,88,6,5,88,88,88,88,88,88,88,88,88,5,4,88,88,4,88,88,2,2,3,2,3,2,6,2,1,,,,,,,,,,,,,,,,,,,1,2,26,14
817,233,1,4,2,4,0,0,0,0,0,3,88,88,1,88,1,88,88,99,88,1,99,88,88,,,,,,,1,,,,6,,5,7,2,7,0,6,5,8,4,2,1,3,3,2,4,3,4,49,30,5,41,87,40,60,50,50,,,,,,3,3,4,5,3,4,5,3,5,4,2,4,4,5,3,1,3,2,4,4,4,4,4,5,3,3,4,3,1,4,4,1,2,3,4,3,2,5,3,1,3,5,4,88,2,1,4,1,3,,,,,,,,,,3,4,4,4,5,5,5,4,7,,,,,,,,,,1,1,24,17
818,613,1,3,6,99,0,0,1,0,1,1,3,3,3,3,3,3,3,3,3,3,3,99,3,,,,,,,,1,,,88,,,,,,,,,,2,5,88,3,88,88,3,5,4,,,,,,,,,,,,,,,88,88,88,88,88,88,88,88,5,4,88,88,4,88,88,4,88,2,,,,,,88,88,88,88,88,88,88,88,4,4,4,88,4,88,88,4,88,5,5,5,88,5,5,5,4,88,2,1,2,2,2,3,3,2,1,,,,,,,,,,,,,,,,,,,1,2,49,1
819,479,1,4,1,99,0,0,0,0,0,2,3,3,3,3,3,3,3,1,1,3,3,1,1,1,,,,,,,,,1,12,,5,0,5,5,10,0,5,5,5,1,1,1,5,1,1,1,4,0,0,0,4,10,0,0,,,,0,0,0,0,1,1,5,1,1,1,1,1,5,5,2,4,5,88,4,4,1,2,2,4,4,4,4,1,1,4,1,1,1,1,1,3,4,2,88,2,2,88,88,88,1,1,6,1,1,4,4,1,5,5,5,5,5,5,5,5,5,4,,,,,,,,,,,,,,,,,,,1,1,35,15
820,906,1,3,1,6,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,1,,,12,,3,3,4,4,8,6,,,4,3,2,3,3,4,3,3,4,60,60,40,60,60,,,60,60,60,,60,60,,4,4,5,88,88,3,4,88,6,4,4,4,4,4,4,4,4,2,5,5,5,5,5,4,4,4,4,88,3,3,88,6,4,4,4,5,4,4,4,4,4,4,5,4,4,2,4,4,3,,,,,,,,,,,,,,,,,,,4,4,2,2,2,3,2,2,4,1,1,54,40
821,1335,1,4,1,13,2,1,1,0,0,1,3,3,3,3,3,3,3,1,1,2,3,3,3,1,,,,,,,,,1,5,,6,6,4,6,2,,,,2,3,3,2,1,2,2,2,4,49,36,21,60,54,,,42,33,56,52,30,53,53,4,4,4,3,3,3,4,3,5,5,4,4,4,5,4,5,3,2,4,5,5,4,5,4,4,4,3,3,3,4,3,5,5,5,4,5,3,4,5,3,4,5,5,4,4,2,4,3,3,3,3,2,2,2,1,2,2,4,,,,,,,,,,,,,,,,,,,1,1,46,13
822,333,1,3,8,1,1,1,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,1,,,12,,,,,,,,,,1,1,1,1,1,1,5,5,4,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,,,,,,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,5,5,2,5,5,1,5,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,2,42,33
823,389,1,3,1,99,0,0,0,0,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,1,,,12,,,,,,,,,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,,,,,,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,1,1,64,1
824,745,1,4,8,12,0,0,0,0,1,3,3,3,3,3,3,3,3,2,1,3,3,3,3,1,,,,,,,,,1,5,,7,7,3,5,0,6,4,5,4,3,1,1,3,2,2,2,4,30,0,0,50,0,14,13,40,50,40,50,38,38,50,2,2,3,2,3,3,2,2,3,2,2,2,2,2,3,3,2,2,3,3,3,4,3,2,2,3,2,2,3,2,2,3,2,3,2,2,2,3,2,2,5,5,4,5,5,5,5,5,6,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,,3,1,2,69,12
825,370,1,3,7,11,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,1,,,12,,,,,,,,,,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,1,1,27,13
826,1562,1,2,6,3,0,0,0,0,2,1,3,3,3,3,3,3,2,3,3,2,1,3,3,1,,,,,1,,,,1,3,,,,,,,,,,2,1,2,2,2,2,4,4,4,,,,,,,,,,,,,,,3,3,3,3,88,4,4,2,5,4,4,3,4,3,3,4,3,2,,,,,,3,3,3,3,3,4,3,3,5,4,4,4,4,3,3,4,3,4,5,5,4,4,4,4,5,4,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,1,2,63,27
827,1376,1,4,7,5,0,0,0,0,1,3,2,2,2,3,1,3,1,1,3,2,3,3,3,,,,,,,,1,,,12,,4,10,3,10,0,7,5,10,4,3,1,2,4,4,1,1,4,0,60,25,0,31,0,0,81,50,83,16,50,35,67,2,3,2,4,3,3,88,3,5,4,4,5,6,5,5,6,5,2,4,6,5,4,4,3,4,3,4,3,4,4,2,5,88,88,4,4,3,4,4,4,3,3,4,3,3,3,88,88,2,,,,,,,,,,3,2,2,2,1,2,2,2,2,,,,,,,,,,1,1,66,23
828,1570,1,3,3,99,0,0,0,0,3,3,3,1,1,2,2,3,2,1,2,3,2,2,3,,,,,,,1,,,,2,,,,,,,,,,4,5,2,2,5,5,2,2,4,29,50,50,46,50,29,50,50,50,53,50,50,50,50,3,3,4,5,4,4,5,3,5,5,4,4,4,3,3,5,4,2,4,4,4,4,3,3,3,3,5,88,4,4,3,4,5,4,3,4,3,3,3,3,3,4,5,4,3,3,5,3,3,,,,,,,,,,4,4,4,2,2,2,2,2,2,,,,,,,,,,1,2,71,12
829,321,1,3,10,99,1,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,1,,,12,,,,,,,,,,88,88,88,88,1,88,88,88,4,,,,,,,,,,,,,,,88,88,88,88,88,88,88,88,4,88,88,88,88,88,88,88,88,2,,,,,,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,3,4,4,3,4,4,4,3,3,,,,,,,,,,6,6,6,6,6,6,6,6,6,,,,,,,,,,1,2,71,38
830,279,1,2,6,99,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,1,,99,,,,,,,,,,3,3,4,3,3,3,3,2,4,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,,,,,,3,6,3,4,3,5,2,3,4,3,5,2,4,4,4,4,3,4,4,3,3,4,3,4,4,5,,,,,,,,,,7,7,7,7,7,7,7,7,7,,,,,,,,,,1,1,25,40
831,1149,1,3,1,6,0,0,0,0,0,3,3,3,88,3,3,3,3,1,2,1,2,1,3,1,,,,,,,,,1,12,,2,9,7,2,7,3,7,8,2,2,1,1,3,3,3,5,4,0,36,27,63,38,59,53,71,86,74,34,75,62,,1,4,3,3,3,4,4,4,5,5,4,4,5,4,4,5,4,2,5,6,5,4,6,4,4,4,4,4,4,4,3,5,5,4,5,5,5,5,5,5,5,6,6,6,3,4,6,5,2,1,1,1,2,1,1,1,4,1,,,,,,,,,,,,,,,,,,,1,2,41,33
832,1548,1,3,10,2,0,0,0,0,3,3,3,3,3,3,3,3,3,1,3,88,3,2,3,,,,,1,,,,,,12,,5,,,5,,,,,3,3,3,3,2,88,1,3,4,72,64,,50,,61,,72,70,74,62,62,65,58,4,4,88,4,88,88,4,88,2,4,88,88,88,4,4,88,4,2,4,5,4,4,5,3,4,3,4,88,88,88,88,6,4,4,3,88,3,3,88,2,5,6,6,4,5,4,4,5,2,,,,,,,,,,,1,,,1,1,2,1,1,,,,,,,,,,1,2,75,8
833,1265,1,2,10,99,0,0,0,0,0,2,2,2,3,3,1,3,2,3,3,3,3,3,3,,,,,,,,1,,,1,,8,8,1,1,0,2,0,0,4,4,3,3,3,3,2,2,4,72,0,0,,,35,,30,50,50,70,25,25,25,4,4,4,88,3,88,4,88,4,4,3,3,4,88,2,99,4,2,3,3,3,3,2,4,4,3,3,2,88,2,88,4,4,2,3,3,3,3,3,4,4,6,6,4,5,4,5,4,5,,,,,,,,,,,,,,,,,,,5,3,1,2,1,2,1,2,3,1,2,73,39
834,908,1,4,7,11,0,0,0,0,1,1,2,2,2,3,3,3,3,1,2,1,2,2,3,,,,,,1,1,,,,1,,8,6,3,6,2,4,6,7,5,5,5,4,3,2,1,1,4,71,18,18,50,64,35,62,39,72,46,72,25,29,27,4,5,4,3,3,4,4,4,6,5,4,5,5,5,6,5,5,2,4,5,5,5,5,4,4,4,3,4,4,4,4,6,5,4,4,4,4,5,5,4,6,6,6,6,6,5,6,6,5,2,4,2,2,2,1,4,3,1,,,,,,,,,,,,,,,,,,,1,2,53,14
835,3464,1,1,10,2,0,0,0,0,1,3,3,3,2,3,3,3,2,3,2,3,3,1,3,,,,,1,,,,,,1,,,6,,,,4,,,1,1,1,1,3,3,3,2,4,47,,,,,,,,,,,,,,88,4,88,4,88,4,5,88,5,4,3,88,4,4,4,5,88,2,3,2,3,,2,3,3,88,88,88,88,3,88,6,88,88,88,88,5,88,88,88,5,5,5,88,5,5,5,88,5,,,,,,,,,,2,6,2,1,2,2,1,1,1,,,,,,,,,,1,2,75,25
836,262,1,2,10,99,0,0,0,0,2,3,3,3,2,3,3,2,2,2,3,3,3,3,3,,,,,,,,,1,,12,,,,,,,,,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,7,7,7,7,7,7,7,7,7,,,,,,,,,,1,1,72,11
837,366,1,4,10,3,0,0,0,0,0,1,3,3,3,3,1,3,3,3,3,2,1,2,2,,,,,,,,1,,,6,,8,8,3,7,0,5,6,6,5,5,2,4,5,2,1,1,4,65,6,0,41,72,29,17,31,60,50,77,21,58,37,5,6,5,4,4,5,4,4,6,5,4,5,6,5,5,6,5,2,5,6,5,6,6,5,6,5,5,4,5,4,4,6,5,4,88,6,5,6,88,6,6,6,6,6,5,4,5,6,5,2,3,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,1,1,28,13
838,1173,1,4,9,1,0,0,0,0,0,3,3,2,3,3,3,3,3,1,3,3,2,2,3,,,,,,,,1,,,88,,2,,,,,,,,2,5,2,1,5,2,4,3,4,19,,,,,,,85,85,89,70,89,81,68,4,5,5,5,4,4,5,5,5,5,5,6,6,4,2,6,3,2,3,6,6,5,6,4,4,5,5,4,4,4,4,5,5,4,6,6,6,2,6,2,6,5,6,4,4,3,5,3,3,,,,,,,,,,1,1,1,1,1,1,1,2,1,,,,,,,,,,1,1,19,7
839,1614,1,4,1,10,1,1,0,0,0,1,2,3,2,3,2,2,3,2,2,1,1,2,2,1,,,,,,,,,1,12,,,,,,,,,,1,1,5,5,1,5,5,5,4,,,,,,,,,,,,,,,4,4,4,3,3,3,3,3,5,4,4,4,4,4,4,4,4,2,,7,,,,2,2,2,2,2,2,2,2,6,4,3,88,88,88,88,88,88,3,4,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,2,2,2,2,3,2,2,3,2,1,1,38,23
840,260,1,2,1,5,0,0,0,0,0,3,3,3,88,88,3,3,88,3,99,88,2,88,3,,,,,,,,1,,,88,,7,3,2,4,6,8,3,8,4,88,4,4,1,3,2,4,1,32,36,43,36,29,37,32,27,30,31,40,37,35,33,88,88,88,99,88,5,88,88,88,6,88,2,4,88,99,88,3,3,3,3,3,3,3,5,4,88,3,5,88,88,6,88,2,2,6,88,4,6,6,88,5,6,4,5,6,6,88,88,88,5,5,4,6,5,6,6,5,3,,,,,,,,,,,,,,,,,,,1,1,25,23
841,306,1,2,1,4,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,1,,,12,,,,,,,,,,88,88,88,88,88,88,88,88,88,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,,,,,,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,1,2,23,34
842,497,1,4,5,7,0,1,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,1,,,12,,,,,,,,,,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,1,1,4,1,1,1,1,1,4,4,4,5,6,88,88,6,88,2,,,,,,88,88,3,88,1,88,88,1,5,88,4,5,6,88,5,6,88,3,5,4,3,3,2,88,3,4,,,,,,,,,,,,,,,,,,,4,2,5,4,5,5,4,4,3,1,2,44,12
843,1142,1,4,10,2,1,0,0,0,0,3,3,1,3,3,1,3,3,1,3,3,3,3,3,,,,,,,,1,,,1,,5,5,6,5,0,5,0,0,3,1,2,3,4,3,2,2,4,60,0,0,61,0,43,0,0,0,0,68,44,53,41,88,2,,3,1,2,1,1,6,5,1,5,88,88,5,88,1,2,3,2,3,2,3,88,1,88,88,1,1,1,1,6,5,1,4,4,2,4,3,1,88,5,88,5,4,3,4,4,5,3,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,1,32,30
844,730,1,4,5,3,0,0,0,0,0,3,3,3,3,3,3,3,3,88,99,3,99,3,3,,,,,,,,,1,,12,,,,,,,,,,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,4,4,4,3,4,4,4,3,4,4,4,5,5,4,4,4,3,2,,,,,,4,4,4,4,4,5,4,2,5,4,5,3,2,3,3,3,3,5,5,6,5,5,5,5,5,4,,,,,,,,,,3,4,4,3,3,3,3,3,3,,,,,,,,,,1,2,46,47
845,1693,1,4,1,10,2,1,0,0,0,3,3,2,3,3,3,3,3,2,3,3,1,2,3,1,,,,,,,,,1,9,,1,6,3,5,6,6,4,2,3,5,3,3,2,3,3,2,4,15,0,0,68,68,0,78,50,11,50,50,50,54,50,4,4,4,3,4,3,3,1,4,5,4,4,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,3,3,4,3,5,5,4,5,4,5,5,4,4,5,5,6,4,5,4,5,4,4,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,42,36
846,752,1,3,8,5,2,0,0,2,2,1,3,2,1,3,3,3,3,3,3,2,3,3,3,,,,,,,,1,,,2,,5,7,3,8,2,5,7,7,4,5,1,1,4,2,2,2,4,41,59,50,30,20,45,30,60,31,60,30,50,61,60,3,4,3,3,4,3,3,2,6,5,88,6,6,6,3,4,3,2,5,5,5,4,4,4,4,3,3,4,3,2,2,6,3,88,3,3,3,2,2,2,4,4,4,3,4,2,3,3,2,2,2,1,2,1,4,1,1,4,,,,,,,,,,,,,,,,,,,1,2,59,28
847,1228,1,4,1,12,0,0,0,0,2,1,3,2,2,3,3,2,3,2,1,2,3,1,3,1,,,,,,,,,1,12,,8,8,4,9,1,6,4,6,5,2,1,1,5,2,2,2,4,68,45,56,77,50,2,17,67,55,58,70,50,50,72,3,2,4,3,3,3,3,1,4,3,3,5,6,5,3,4,3,2,2,2,3,2,2,3,3,4,3,4,2,2,1,4,3,4,4,6,4,2,3,2,4,3,6,4,3,3,4,3,3,2,2,1,1,1,1,4,,1,,,,,,,,,,,,,,,,,,,1,1,54,27
848,811,1,5,1,8,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,1,,,,,,,,,12,,5,5,5,5,,,5,,3,3,2,2,3,3,3,3,4,49,20,0,30,70,5,0,50,50,50,50,50,50,50,4,4,4,88,3,4,4,88,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,88,4,88,4,4,4,4,4,4,4,4,4,4,3,88,88,88,88,88,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,1,33,10
